Seller_ID,Seller_Name,Order_Date,AWB,Seller_Remittance_ID,Order_Amount,UTR_Number
3315,shopcod,2024-01-09,STOC9000746120,0,999,
3371,Elevate Store,2024-01-09,77882330665,0,799,
3324,Workos Technologies Private Limited - New,2024-01-09,80398294465,0,599,
3673,sumit media,2024-01-09,22679010825274,0,799,
3324,Workos Technologies Private Limited - New,2024-01-09,80398337832,0,699,
3323,Khemka GOC,2024-01-09,STLC8000196919,0,999,
3315,shopcod,2024-01-09,STOC9000745663,0,999,
3315,shopcod,2024-01-09,STOC9000744840,0,999,
3751,Thefirstplace,2024-01-09,22679010823701,0,699,
3324,Workos Technologies Private Limited - New,2024-01-09,80398337795,0,699,
3324,Workos Technologies Private Limited - New,2024-01-09,80398294432,0,599,
3371,Elevate Store,2024-01-09,77882330680,0,939.55,
3649,Neu Urban,2024-01-09,77883147053,0,499,
3323,Khemka GOC,2024-01-09,STLC8000196240,0,999,
3324,Workos Technologies Private Limited - New,2024-01-09,80398294351,0,599,
3324,Workos Technologies Private Limited - New,2024-01-09,80398337670,0,699,
3371,Elevate Store,2024-01-09,77882330632,0,759.05,
3324,Workos Technologies Private Limited - New,2024-01-09,80398337681,0,699,
3639,onlinekart24.com,2024-01-09,22679010825300,0,799,
3324,Workos Technologies Private Limited - New,2024-01-09,80398294362,0,599,
3324,Workos Technologies Private Limited - New,2024-01-09,412003361878,0,599,
3323,Khemka GOC,2024-01-09,STLC8000190107,0,999,
3323,Khemka GOC,2024-01-09,STLC8000195830,0,999,
3323,Khemka GOC,2024-01-09,STLC8000196543,0,999,
3324,Workos Technologies Private Limited - New,2024-01-09,14227883279537,0,599,
3324,Workos Technologies Private Limited - New,2024-01-09,80398294303,0,599,
3315,shopcod,2024-01-09,STOC9000745839,0,999,
3323,Khemka GOC,2024-01-09,STLC8000197193,0,999,
3323,Khemka GOC,2024-01-09,STLC8000196666,0,999,
3324,Workos Technologies Private Limited - New,2024-01-09,80398345322,0,699,
3323,Khemka GOC,2024-01-09,STLC8000196014,0,999,
3324,Workos Technologies Private Limited - New,2024-01-09,80398294270,0,599,
3323,Khemka GOC,2024-01-09,STLC8000196359,0,999,
3315,shopcod,2024-01-09,STLC8000196114,0,1299,
3315,shopcod,2024-01-09,STOC9000744283,0,999,
3323,Khemka GOC,2024-01-09,STLC8000197272,0,999,
3315,shopcod,2024-01-09,412003360469,0,1299,
3324,Workos Technologies Private Limited - New,2024-01-09,80398337655,0,699,
3324,Workos Technologies Private Limited - New,2024-01-09,80398337596,0,699,
3315,shopcod,2024-01-09,STLC8000193033,0,1299,
3324,Workos Technologies Private Limited - New,2024-01-09,80398337504,0,699,
3323,Khemka GOC,2024-01-09,STLC8000196533,0,999,
3323,Khemka GOC,2024-01-09,STLC8000195799,0,999,
3323,Khemka GOC,2024-01-09,STLC8000195548,0,999,
3323,Khemka GOC,2024-01-09,STLC8000193708,0,999,
3324,Workos Technologies Private Limited - New,2024-01-09,80398337563,0,699,
3639,onlinekart24.com,2024-01-09,22679010825311,0,799,
3323,Khemka GOC,2024-01-09,STLC8000197151,0,999,
3324,Workos Technologies Private Limited - New,2024-01-09,80398337471,0,699,
3324,Workos Technologies Private Limited - New,2024-01-09,80398345285,0,699,
3324,Workos Technologies Private Limited - New,2024-01-09,80398337456,0,699,
3843,homfy,2024-01-09,22679010822264,0,799,
3323,Khemka GOC,2024-01-09,STLC8000197274,0,999,
3324,Workos Technologies Private Limited - New,2024-01-09,80398337412,0,699,
3323,Khemka GOC,2024-01-09,STLC8000198621,0,999,
3324,Workos Technologies Private Limited - New,2024-01-09,80398337434,0,699,
3323,Khemka GOC,2024-01-09,STLC8000198286,0,999,
3323,Khemka GOC,2024-01-09,STLC8000191746,0,999,
3323,Khemka GOC,2024-01-09,STLC8000199820,0,999,
3313,Ar seller ecom india,2024-01-09,77882142085,0,699,
3649,Neu Urban,2024-01-09,77883146773,0,499,
3323,Khemka GOC,2024-01-09,STLC8000198680,0,999,
3324,Workos Technologies Private Limited - New,2024-01-09,80398337375,0,699,
3323,Khemka GOC,2024-01-09,STLC8000197740,0,999,
3315,shopcod,2024-01-09,STLC8000195707,0,1299,
3324,Workos Technologies Private Limited - New,2024-01-09,412003363446,0,599,
3323,Khemka GOC,2024-01-09,STLC8000198324,0,999,
3323,Khemka GOC,2024-01-09,STLC8000197503,0,999,
3324,Workos Technologies Private Limited - New,2024-01-09,22679010823152,0,699,
3323,Khemka GOC,2024-01-09,STLC8000199399,0,999,
3315,shopcod,2024-01-09,412003298431,0,1299,
3324,Workos Technologies Private Limited - New,2024-01-09,80398345252,0,699,
3324,Workos Technologies Private Limited - New,2024-01-09,80398293964,0,599,
3323,Khemka GOC,2024-01-09,STLC8000198069,0,999,
3323,Khemka GOC,2024-01-09,412003363801,0,999,
3315,shopcod,2024-01-09,STLC8000196089,0,1299,
3315,shopcod,2024-01-09,STLC8000195101,0,1299,
3315,shopcod,2024-01-09,STLC8000194788,0,1299,
3315,shopcod,2024-01-09,STLC8000195288,0,1299,
3324,Workos Technologies Private Limited - New,2024-01-09,80398337180,0,699,
3371,Elevate Store,2024-01-09,77882330595,0,759.05,
3843,homfy,2024-01-09,22679010822275,0,799,
3371,Elevate Store,2024-01-09,77882330540,0,759.05,
3324,Workos Technologies Private Limited - New,2024-01-09,80398293791,0,599,
3324,Workos Technologies Private Limited - New,2024-01-09,22679010823200,0,699,
3315,shopcod,2024-01-09,STLC8000196648,0,1299,
3324,Workos Technologies Private Limited - New,2024-01-09,22679010823211,0,699,
3324,Workos Technologies Private Limited - New,2024-01-09,412003249137,0,599,
3323,Khemka GOC,2024-01-09,STLC8000198735,0,999,
3324,Workos Technologies Private Limited - New,2024-01-09,80398345145,0,699,
3323,Khemka GOC,2024-01-09,STLC8000198891,0,999,
3324,Workos Technologies Private Limited - New,2024-01-09,80398337036,0,699,
3315,shopcod,2024-01-09,STLC8000195767,0,1299,
3324,Workos Technologies Private Limited - New,2024-01-09,412003363070,0,599,
3324,Workos Technologies Private Limited - New,2024-01-09,80398336992,0,699,
3324,Workos Technologies Private Limited - New,2024-01-09,412003363259,0,599,
3649,Neu Urban,2024-01-09,77882402205,0,699,
3315,shopcod,2024-01-09,SF912727962NIM,0,1299,
3324,Workos Technologies Private Limited - New,2024-01-09,412003362658,0,599,
3324,Workos Technologies Private Limited - New,2024-01-09,80398336933,0,699,
3324,Workos Technologies Private Limited - New,2024-01-09,80398293732,0,599,
3324,Workos Technologies Private Limited - New,2024-01-09,80398345090,0,699,
3324,Workos Technologies Private Limited - New,2024-01-09,80398293706,0,599,
3323,Khemka GOC,2024-01-09,STLC8000193053,0,999,
3639,onlinekart24.com,2024-01-09,22679010825510,0,799,
3324,Workos Technologies Private Limited - New,2024-01-09,412003362116,0,699,
3639,onlinekart24.com,2024-01-09,22679010825506,0,799,
3323,Khemka GOC,2024-01-09,STLC8000192421,0,999,
3323,Khemka GOC,2024-01-09,STLC8000193227,0,999,
3649,Neu Urban,2024-01-09,22679010928196,0,499,
3323,Khemka GOC,2024-01-09,412003361996,0,999,
3371,Elevate Store,2024-01-09,77882330536,0,759.05,
3315,shopcod,2024-01-09,412003363782,0,999,
3315,shopcod,2024-01-09,STLC8000195985,0,1299,
3315,shopcod,2024-01-09,412003363025,0,999,
3323,Khemka GOC,2024-01-09,STLC8000193809,0,999,
3324,Workos Technologies Private Limited - New,2024-01-09,80398293636,0,599,
3324,Workos Technologies Private Limited - New,2024-01-09,80398293640,0,599,
3324,Workos Technologies Private Limited - New,2024-01-09,80398293614,0,599,
3323,Khemka GOC,2024-01-09,STLC8000193865,0,999,
3323,Khemka GOC,2024-01-09,412003362652,0,999,
3324,Workos Technologies Private Limited - New,2024-01-09,80398293566,0,599,
3315,shopcod,2024-01-09,412003364519,0,1998,
3323,Khemka GOC,2024-01-09,STLC8000194649,0,999,
3323,Khemka GOC,2024-01-09,STLC8000193724,0,999,
3371,Elevate Store,2024-01-09,77882330551,0,989,
3324,Workos Technologies Private Limited - New,2024-01-09,80398293555,0,599,
3323,Khemka GOC,2024-01-09,STLC8000190599,0,999,
3371,Elevate Store,2024-01-09,SHBC7000146484,0,889,
3323,Khemka GOC,2024-01-09,STLC8000193558,0,999,
3323,Khemka GOC,2024-01-09,STLC8000190683,0,999,
3324,Workos Technologies Private Limited - New,2024-01-09,80398293592,0,599,
3323,Khemka GOC,2024-01-09,STLC8000193096,0,999,
3649,Neu Urban,2024-01-09,77884935866,0,699,
3315,shopcod,2024-01-09,STLC8000191459,0,1299,
3323,Khemka GOC,2024-01-09,STLC8000192318,0,999,
3315,shopcod,2024-01-09,STOC9000743918,0,999,
3323,Khemka GOC,2024-01-09,STLC8000193166,0,999,
3323,Khemka GOC,2024-01-09,STLC8000193818,0,999,
3323,Khemka GOC,2024-01-09,STLC8000193346,0,999,
3315,shopcod,2024-01-09,STOC9000744078,0,999,
3324,Workos Technologies Private Limited - New,2024-01-09,80398394031,0,699,
3649,Neu Urban,2024-01-09,22679010926995,0,499,
3649,Neu Urban,2024-01-09,77883146526,0,499,
3323,Khemka GOC,2024-01-09,412003362679,0,999,
3673,sumit media,2024-01-09,23645417551095,0,799,
3323,Khemka GOC,2024-01-09,STLC8000193244,0,999,
3323,Khemka GOC,2024-01-09,STLC8000193502,0,999,
3323,Khemka GOC,2024-01-09,STLC8000193316,0,999,
3323,Khemka GOC,2024-01-09,STLC8000193735,0,999,
3649,Neu Urban,2024-01-09,77883146493,0,499,
3673,sumit media,2024-01-09,22679010825565,0,799,
3324,Workos Technologies Private Limited - New,2024-01-09,80398293511,0,599,
3323,Khemka GOC,2024-01-09,STLC8000193614,0,999,
3729,BIGSHORT,2024-01-09,412003364775,0,1599,
3323,Khemka GOC,2024-01-09,STLC8000193615,0,999,
3323,Khemka GOC,2024-01-09,STLC8000191537,0,999,
3323,Khemka GOC,2024-01-09,STLC8000193153,0,999,
3323,Khemka GOC,2024-01-09,STLC8000192637,0,999,
3324,Workos Technologies Private Limited - New,2024-01-09,22679010822883,0,699,
3323,Khemka GOC,2024-01-09,STLC8000182818,0,999,
3315,shopcod,2024-01-09,STLC8000196365,0,1299,
3843,homfy,2024-01-09,22679010822334,0,799,
3751,Thefirstplace,2024-01-09,22679010823723,0,699,
3324,Workos Technologies Private Limited - New,2024-01-09,80398336830,0,699,
3323,Khemka GOC,2024-01-09,STLC8000190648,0,999,
3843,homfy,2024-01-09,23645417577312,0,799,
