Order_ID,Order_number,User_id,Order_Created_Date,Order_Status,Order_date,Order_Approved_Date,Purchase_Order_Status,Purchase_Order_Created_Date,Purchase_Order_ID,Shipment_Date,AWB,Tracking_Status
5905583,#13624,1197,2024-06-21,booked,2024-06-21,2024-06-21,booked,27-06-2024,3,2024-07-05,I15975932,delivered
5905584,#13595,1197,2024-06-21,booked,2024-06-21,2024-06-21,booked,27-06-2024,3,2024-07-05,80540962073,delivered
5905585,#13549,1197,2024-06-21,booked,2024-06-21,2024-06-21,booked,27-06-2024,3,2024-07-05,81702716535,delivered
5905586,#13546,1197,2024-06-21,booked,2024-06-21,2024-06-21,booked,27-06-2024,3,2024-07-05,80540961572,rto delivered
5905587,#13529,1197,2024-06-21,booked,2024-06-21,2024-06-21,booked,27-06-2024,3,2024-07-05,80540961690,delivered
5905588,#13481,1197,2024-06-21,booked,2024-06-21,2024-06-21,booked,27-06-2024,3,2024-07-05,80540961001,delivered
5905589,#13473,1197,2024-06-21,booked,2024-06-21,2024-06-21,booked,27-06-2024,3,2024-07-05,80540961093,delivered
5905591,#13431,1197,2024-06-21,booked,2024-06-21,2024-06-21,booked,27-06-2024,3,2024-07-05,80540961292,delivered
5905592,#13407,1197,2024-06-21,booked,2024-06-21,2024-06-21,booked,27-06-2024,3,2024-07-05,80540960555,rto delivered
5905594,#13403,1197,2024-06-21,booked,2024-06-21,2024-06-21,booked,27-06-2024,3,2024-07-05,80540960776,delivered
5905595,#13365,1197,2024-06-21,booked,2024-06-21,2024-06-21,booked,27-06-2024,3,2024-07-05,80540960883,rto delivered
5905596,#13364,1197,2024-06-21,booked,2024-06-21,2024-06-21,booked,27-06-2024,3,2024-07-05,80540960323,rto delivered
5960630,#19959,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3,2024-07-05,80540959715,delivered
5960631,#19676,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3,2024-07-05,80540960065,delivered
5960632,#19478,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3,2024-07-05,80540960194,rto delivered
5960633,#19273,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3,2024-07-05,80540958923,delivered
5960636,#19074,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3,2024-07-05,80540959251,delivered
5960637,#19050,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3,2024-07-05,I15975931,rto delivered
5960638,#13543,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3,2024-07-05,81702713212,delivered
5960640,#20254,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3,2024-07-05,80540957055,delivered
5960641,#20244,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3,2024-07-05,80540957604,delivered
5960642,#20201,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3,2024-07-05,81702711974,delivered
5960643,#20154,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3,2024-07-05,80540958061,delivered
5960644,#20152,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3,2024-07-05,I15975930,rto delivered
5960646,#20141,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3,2024-07-05,80540956565,delivered
5960647,#20079,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3,2024-07-05,81702710515,delivered
5960648,#20076,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3,2024-07-09,80544262315,rto delivered
5960649,#19994,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3,2024-07-05,80540955563,delivered
5960650,#19919,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3,2024-07-05,80540955946,rto delivered
5960651,#19890,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3,2024-07-05,80540954653,delivered
5960652,#19851,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3,2024-07-05,80540954885,delivered
5960653,#19829,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3,2024-07-05,81702707984,delivered
