Vendor_ID,Vendor_Name,Seller_ID,Seller_Name,Order_ID,Order_Date,Reason
3409,Lazy Window LLP,3368,A.D.Enterprise,2600640,2023-12-29,""", Ekart STL -  1kg[999006] Serviceability failure, Ecom Exp Air[999009] Array"""
3102,AVON IMPEX,3368,A.D.Enterprise,2600880,2023-12-29,""", The Consignee Phone field must be exactly 10 characters in length.\n, The Consignee Phone field must be exactly 10 characters in length.\n, The Consignee Phone field must be exactly 10 characters in length.\n, Ekart SHB - 0.5kg[999007] services[0].serviceDetails[0].serviceData.destination.address.primaryContactNumber:Contact number is invalid. Allowed formats of max 12 digit either starts with +91|91|0|None, The Consignee Phone field must be exactly 10 characters in length.\n, The Consignee Phone field must be exactly 10 characters in length.\n, The Consignee Phone field must be exactly 10 characters in length.\n, The Consignee Phone field must be exactly 10 characters in length.\n, The Consignee Phone field must be exactly 10 characters in length.\n, The Consignee Phone field must be exactly 10 characters in length.\n, The Consignee Phone field must be exactly 10 characters in length.\n, The Consignee Phone field must be exactly 10 characters in length.\n"""
3107,RS Traders,3416,Store Bolt,2601218,2023-12-29,""", Ekart STO - 0.5kg[999002] No vendor has delivery serviceability, DTDC(80): Invalid Return Phone,, DTDC(79): Invalid Return Phone,"""
3466,N K TRADING CO,3789,amazingdeal.org,2601269,2023-12-29,""", Ekart STL -  1kg[999006] Serviceability failure, Ecom Exp Air[999009] Array"""
3409,Lazy Window LLP,3368,A.D.Enterprise,2601572,2023-12-29,""", Ekart STO - 0.5kg[999002] No vendor has delivery serviceability"""
3273,KATYANI TRADERS,3729,BIGSHORT,2601590,2023-12-29,""", Ekart STO - 0.5kg[999002] services[0].serviceDetails[0].serviceData.destination.address.pincode:Pincode is Invalid, Ecom Exp Air[999009] Array"""
3409,Lazy Window LLP,3368,A.D.Enterprise,2601617,2023-12-29,""", Ekart STO - 0.5kg[999002] Serviceability failure"""
3107,RS Traders,3790,Shopping,2601636,2023-12-29,""", The Consignee Phone field must be exactly 10 characters in length.\n, The Consignee Phone field must be exactly 10 characters in length.\n, The Consignee Phone field must be exactly 10 characters in length.\n, The Consignee Phone field must be exactly 10 characters in length.\n, The Consignee Phone field must be exactly 10 characters in length.\n, The Consignee Phone field must be exactly 10 characters in length.\n, The Consignee Phone field must be exactly 10 characters in length.\n, The Consignee Phone field must be exactly 10 characters in length.\n"""
3409,Lazy Window LLP,3368,A.D.Enterprise,2601663,2023-12-29,""", Ekart STO - 0.5kg[999002] No vendor has delivery serviceability"""
3316,NAMOSHIVAI APPARELS PRIVATE LIMITED,3783,BEASTKART,2601688,2023-12-29,""", Ekart STO - 0.5kg[999002] No vendor has delivery serviceability"""
