Courier,Grand_Total,Delivered,Delivered_%,Exception,Exception_%,In Transit,In_Transit_%,Out For Delivery,Out_For_Delivery_%,RTO,RTO_%
Grand_Total,51611,6544,12%,5932,11%,24408,47%,6545,12%,8182,15%
Ekart STL -  1kg,25233,2561,10%,3494,13%,12148,48%,3005,11%,4025,15%
Ekart STO - 0.5kg,6120,545,8%,322,5%,3009,49%,1111,18%,1133,18%
Shipway Delhivery,4680,715,15%,626,13%,1429,30%,680,14%,1230,26%
Bluedart Air,4628,1269,27%,586,12%,2120,45%,534,11%,119,2%
Ecom Exp Air,4048,673,16%,337,8%,1083,26%,565,13%,1390,34%
Xpressbees Surface,3146,82,2%,176,5%,2530,80%,221,7%,137,4%
Bluedart,1833,510,27%,241,13%,838,45%,230,12%,14,0%
Bluedart Surface,644,70,10%,81,12%,413,64%,60,9%,20,3%
Shadowfax,528,27,5%,29,5%,377,71%,62,11%,33,6%
Ekart SHB - 0.5kg,306,49,16%,11,3%,196,64%,25,8%,25,8%
Delhivery Surface DT,273,39,14%,17,6%,130,47%,32,11%,55,20%
DTDC Surface 0.5KG,149,3,2%,12,8%,114,76%,19,12%,1,0%
Ekart,21,1,4%,0,0%,19,90%,1,4%,0,0%
Bluedart Express,2,0,0%,0,0%,2,100%,0,0%,0,0%
