Ship_Status,NDR_Remarks,Total_Attempts,AWB
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010718535
RTO,Maximum attempts reached,Attempt 1,22679010759581
RTO,Maximum attempts reached,Attempt 1,22679010759570
RTO,NDR Call - FE remark correct,Attempt 1,22679010759360
RTO,Consignee Unavailable,Attempt 3,22679010758925
RTO,Consignee refused to accept/order cancelled,Attempt 1,22679010758752
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010755322
RTO,Consignee Unavailable,Attempt 2,22679010755300
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010755296
RTO,Consignee Unavailable,Attempt 2,22679010755274
RTO,Maximum attempts reached,Attempt 2,22679010755252
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010755241
Delivered,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010755215
Delivered,Consignee Unavailable,Attempt 1,22679010755193
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010755053
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010755075
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 2,22679010755064
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 1,22679010755042
RTO,The customer wants to get the order please deliver it ASAP.,Attempt 3,22679010755020
RTO,Maximum attempts reached,Attempt 3,22679010753340
Delivered,Consignee Unavailable,Attempt 1,22679010753336
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 1,22679010753314
Exception,Consignee refused to accept/order cancelled,Attempt 3,22679010753303
In Transit,Consignee Unavailable,Attempt 3,23645417231302
In Transit,Consignee refused to accept/order cancelled,Attempt 1,22679010753130
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010753104
Delivered,Consignee Unavailable,Attempt 2,22679010753115
Exception,Consignee refused to accept/order cancelled,Attempt 1,22679010753126
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 1,22679010753012
RTO,Consignee refused to accept/order cancelled,Attempt 3,23645417231313
Exception,Consignee refused to accept/order cancelled,Attempt 2,22679010752975
Exception,Consignee Unavailable,Attempt 2,22679010752953
RTO,NDR Call - FE remark correct,Attempt 2,22679010752964
Exception,Office/Institute closed,Attempt 1,22679010752861
RTO,Maximum attempts reached,Attempt 3,22679010752780
RTO,Maximum attempts reached,Attempt 2,22679010752791
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010752765
RTO,NDR Call - FE remark correct,Attempt 2,22679010752684
Exception,Consignee Unavailable,Attempt 3,22679010752673
Exception,Consignee Unavailable,Attempt 2,22679010752581
In Transit,Consignee refused to accept/order cancelled,Attempt 1,22679010752570
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 1,22679010752544
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 3,23645417231350
RTO,Consignee refused to accept/order cancelled,Attempt 3,22679010752533
Exception,Consignee refused to accept/order cancelled,Attempt 3,22679010752522
Exception,Consignee refused to accept/order cancelled,Attempt 1,22679010752511
RTO,Consignee refused to accept/order cancelled,Attempt 3,22679010752500
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 1,22679010752496
Exception,Consignee refused to accept/order cancelled,Attempt 2,22679010752474
Exception,Consignee refused to accept/order cancelled,Attempt 1,22679010752463
RTO,Consignee Unavailable,Attempt 3,23645417231416
Exception,Consignee refused to accept/order cancelled,Attempt 2,22679010752430
Exception,NDR Call - FE remark correct,Attempt 3,22679010752426
Exception,Consignee refused to accept/order cancelled,Attempt 2,22679010752404
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 1,22679010752415
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 1,22679010752382
Delivered,Consignee Unavailable,Attempt 1,22679010752371
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 1,22679010752360
RTO,Consignee Unavailable,Attempt 3,22679010752356
Exception,Office/Institute closed,Attempt 1,22679010752345
RTO,Consignee Unavailable,Attempt 2,23645417231420
RTO,Consignee refused to accept/order cancelled,Attempt 1,23645417231431
RTO,Consignee refused to accept/order cancelled,Attempt 3,22679010752323
Delivered,Consignee refused to accept/order cancelled,Attempt 1,22679010752312
Out For Delivery,Consignee Unavailable,Attempt 3,22679010752301
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 1,22679010752286
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010752275
RTO,Maximum attempts reached,Attempt 2,22679010752264
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 1,22679010752253
In Transit,Consignee refused to accept/order cancelled,Attempt 2,22679010752242
RTO,Consignee Unavailable,Attempt 3,23645417231442
RTO,Maximum attempts reached,Attempt 1,22679010752231
Exception,Consignee Unavailable,Attempt 1,22679010752220
RTO,Consignee refused to accept/order cancelled,Attempt 1,22679010752205
RTO,Consignee Unavailable,Attempt 3,22679010752183
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010752161
Exception,Maximum attempts reached,Attempt 3,22679010752146
RTO,Consignee Unavailable,Attempt 3,22679010752150
RTO,NDR Call - FE remark correct,Attempt 1,22679010752135
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 2,22679010752124
Exception,Consignee refused to accept/order cancelled,Attempt 3,22679010752113
Exception,Consignee Unavailable,Attempt 3,22679010752102
Exception,Maximum attempts reached,Attempt 2,22679010752091
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010752080
RTO,Consignee refused to accept/order cancelled,Attempt 1,23645417231475
RTO,Consignee Unavailable,Attempt 2,22679010752076
RTO,Maximum attempts reached,Attempt 2,22679010752054
Exception,NDR Call - FE remark correct,Attempt 1,22679010752032
Out For Delivery,Consignee Unavailable,Attempt 2,22679010752021
RTO,Consignee refused to accept/order cancelled,Attempt 3,22679010752010
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010752006
Exception,Consignee Unavailable,Attempt 3,22679010751995
RTO,Consignee Unavailable,Attempt 1,22679010751973
Exception,Consignee refused to accept/order cancelled,Attempt 1,22679010751984
RTO,NDR Call - FE remark correct,Attempt 2,22679010751962
RTO,Consignee refused to accept/order cancelled,Attempt 2,22679010751951
Out For Delivery,Consignee refused to accept/order cancelled,Attempt 2,22679010751940
Exception,Consignee refused to accept/order cancelled,Attempt 1,22679010751936
RTO,Recipient wants open delivery,Attempt 2,22679010751881
RTO,Consignee refused to accept/order cancelled,Attempt 3,22679010751870
Exception,Recipient wants open delivery,Attempt 1,22679010751892
Delivered,Consignee refused to accept/order cancelled,Attempt 1,22679010751866
