Variant_SKU,Product_Name,Pricing_Plan,Ships,Delivered,Delivered_%,Avg_Product_Margin
Grand_Total,,,43765,4455,10.18%,86
SI34614,Smart Foldable Shoes Shelf 4 Tier Shoe Rack,Delivery,12240,938,7.66%,131
SI43616,KIDS WATCH BLACK WITH SCREEN CLEANER,Delivery,3880,164,4.23%,83
SI52850,Bee Venom Joint and Bone Therapy Cream (Pack of 2),Delivery,3628,254,7.0%,90
SI54329,Jeans,Dispatch,2594,503,19.39%,1
SI56001,Bee Venom Pain Relief Cream(pack of 2),Delivery,2399,203,8.46%,100
SI54332,Under Garments,Dispatch,2361,412,17.45%,2
SI55698,Multi-Socket Extension Board,Dispatch,1805,202,11.19%,35
SI54742,Stain Remover ( Pack of 2 ),Delivery,1802,382,21.2%,70
SI42073,"Handmade Oval Turquoise ring, Sterling golden ring, Natural Turquoise ring",Delivery,1460,153,10.48%,100
SI55327,Magic Water Coloring Book with Magic Pen(pack of 4),Delivery,1369,334,24.4%,100
SI39526,Adivasi Herbal Hair Growth Oil | Controls Hairfall | Strong and Healthy Hair (Pack of 2) 125ml Each,Delivery,1016,199,19.59%,90
SI50276,Acupressure Reflexology Socks With Pressure Point,Delivery,937,1,0.11%,90
si54750,Suit and Kurti Pack of 2,Dispatch,823,0,0.0%,16
SI54748,IND Number Plate Frame,Delivery,717,51,7.11%,100
SI38764,Water Absorbing Mat for Bathroom,Delivery,656,96,14.63%,90
SI56046,Smart Foldable Shoes Shelf  Shoe Rack,Dispatch,564,0,0.0%,6
SI51205,Acupressure Reflexology Socks With Pressure Point (with stick),Delivery,535,0,0.0%,90
SI43766,"Yayashi Toothpaste, Whitening and Stain Remover Toothpaste ( Pack of 1 )",Delivery,365,46,12.6%,90
SI43654,"Handmade Oval Turquoise ring, Sterling golden ring, Natural Turquoise ring",Delivery,320,49,15.31%,90
SI43943,Portable Situps And Pushups  Assistant Exercise Equipment For Home Gym Workout  Abdominal Exerciser,Delivery,268,53,19.78%,90
SI54746,V34 Colour Corrector Toothpaste Tooth Whitening,Delivery,251,0,0.0%,90
SI54330,T-Shirt,Dispatch,242,59,24.38%,2
SI51320,"400 in 1 Handheld Game Console,Classic Retro Video Gaming pad",Delivery,197,3,1.52%,100
SI24662,Arctic Air cooler,Delivery,183,0,0.0%,120
SI54400,Stamina Booster Massage Oil / Stamina Booster Triple Power Capsule 30ml+60cap,Delivery,179,13,7.26%,71
SI51314,Maybelucky On The Glow Bronze Warm Glow,Delivery,150,21,14.0%,100
SI52835,Fish Bites Natural Trout Bait Scent Fish Attractants ( Pack of 2 ),Delivery,139,5,3.6%,100
SI54293,Multipurpose Foam Cleaner Spray - Multi-Use Foaming Cleaner | 200ml,Delivery,107,13,12.15%,100
SI55954,Wood Plant,Delivery,106,27,25.47%,100
SI39111,Perfume For Women Pink Love(Pack Of 2),Delivery,102,8,7.84%,90
SI36345,Rechargeable Aircraft LED Bike Strobe Flasher Accessories 3 Colors Exterior Lights Pack of 2,Delivery,101,0,0.0%,90
SI38644,Smooth Hair Eraser,Delivery,91,28,30.77%,90
SI38610,Men's High Stretch Multi-Pocket Skinny Cargo Pants Casual Trousers ( pack of 2 ),Delivery,81,11,13.58%,90
SI43942,Car Mobile Phone Holder Air Vent Windshield Storage Mount Cellphone Dashboard Holder Auto Adjustable,Delivery,77,8,10.39%,90
SI44197,Posture Corrector for Men and Women Pain Relief belt,Delivery,74,7,9.46%,90
SI54750,Suit and Kurti Pack of 2,Dispatch,72,0,0.0%,12
SI51611,Ceiling Fan Cleaner Dusters With Extension Pole,Delivery,70,3,4.29%,100
SI43291,High Protection Quick Car Coating Spray ( Pack of 2 ),Delivery,68,1,1.47%,90
SI37329,Women Wireless Sexy Push Up Sports Stylish Tank Top Bralette,Delivery,64,32,50.0%,90
SI55955,Wood Plant,Delivery,63,19,30.16%,100
SI36099,USB Laser Light,Delivery,63,5,7.94%,90
