Seller_ID,Product_Name,Courier_Category,Grand_Total,Delivered,Delivered_%,RTO,RTO_%
1224,???? LAST DAY SALE - 50% OFF????   Lucky Sky Terrarium Plant,Delhivery Surface LM,16,9.0,56%,1.0,6%
1224,????Last Day Sale 50% OFF????????Pay 1 Get 3 (3packs)_Fresh Seamless High Waist Butt Lift Panties—????VIP Fast Shipping (Only Today)? - L,Bluedart Air LM,3,2.0,66%,0.0,0%
1224,????Last Day Sale 50% OFF????????Pay 1 Get 3 (3packs)_Fresh Seamless High Waist Butt Lift Panties—????VIP Fast Shipping (Only Today)? - M,Bluedart Air LM,4,4.0,100%,0.0,0%
1224,????Last Day Sale 50% OFF????????Pay 1 Get 3 (3packs)_Fresh Seamless High Waist Butt Lift Panties—????VIP Fast Shipping (Only Today)? - S,Delhivery Surface LM,1,0.0,0%,0.0,0%
1224,????Last Day Sale 50% OFF????????Pay 1 Get 3 (3packs)_Fresh Seamless High Waist Butt Lift Panties—????VIP Fast Shipping (Only Today)? - XL,Delhivery Surface LM,5,5.0,100%,0.0,0%
1224,????Last Day Sale 50% OFF????????Pay 1 Get 3 (3packs)_Fresh Seamless High Waist Butt Lift Panties—????VIP Fast Shipping (Only Today)? - XXL,Bluedart Air LM,9,5.0,55%,0.0,0%
1224,DazzleDry™ - Kitchen Drying Mat - Black Grey / 40 X 120 cm,Delhivery Surface LM,19,13.0,68%,5.0,26%
1224,DazzleDry™ - Kitchen Drying Mat - Black Grey / 40 X 120 cm,Ekart SHB - 0.5kg LM,30,17.0,56%,0.0,0%
1224,DazzleDry™ - Kitchen Drying Mat - Black Grey / 40 X 120 cm,Xpressbees Surface LM,4,4.0,100%,0.0,0%
1224,Wireless Video Doorbell With Camera,Bluedart LM,19,4.0,21%,0.0,0%
1224,Wireless Video Doorbell With Camera,Xpressbees Surface LM,1,0.0,0%,0.0,0%
3284,Premium Shoe Rack(5 year Warranty),DTDC Surface LM,21,4.0,19%,0.0,0%
3284,Premium Shoe Rack(5 year Warranty),Delhivery Surface LM,144,32.0,22%,67.0,46%
3284,Premium Shoe Rack(5 year Warranty),Ekart SHL - 1kg LM,3032,676.0,22%,4.0,0%
3284,Premium Shoe Rack(5 year Warranty),Xpressbees Surface LM,362,58.0,16%,6.0,1%
3313,Ayurvedic Enlarge Oil ???? (Winter Offer Buy 1 Get 1 FREE ??),Delhivery Surface LM,1,0.0,0%,0.0,0%
3550,???? BIG SALE - HALF PRICE????????Splash-proof Faucet Booster Filter (Pack of 2),Ekart SHB - 0.5kg LM,1,1.0,100%,0.0,0%
3550,???? Reusable Magic Water Books (Pack of 4),Bluedart LM,307,203.0,66%,0.0,0%
3550,???? Reusable Magic Water Books (Pack of 4),DTDC Surface LM,5,3.0,60%,0.0,0%
3550,???? Reusable Magic Water Books (Pack of 4),Delhivery Surface LM,80,69.0,86%,6.0,7%
3550,???? Reusable Magic Water Books (Pack of 4),Ekart SHB - 0.5kg LM,2,2.0,100%,0.0,0%
3582,Acupressure  socks,Ekart SHB - 0.5kg LM,1,1.0,100%,0.0,0%
4078,Phone Holder 2.0 with Bluetooth audio power bank,Ekart SHB - 0.5kg LM,2,0.0,0%,0.0,0%
4078,Phone Holder 2.0 with Bluetooth audio power bank,Xpressbees Surface LM,1,0.0,0%,0.0,0%
4101,DesiThrift's | 4 in 1 Electric & Portable Dicer |,DTDC Surface LM,1,1.0,100%,0.0,0%
4101,DesiThrift's | 4 in 1 Electric & Portable Dicer |,Ekart SHB - 0.5kg LM,2,1.0,50%,0.0,0%
4101,DesiThrift's | Brazilian Bliss wood ???? - Pack of 1,Delhivery Surface LM,2,0.0,0%,1.0,50%
4101,DesiThrift's |Dusty™| Ceiling Cleaner/Duster,Delhivery Surface LM,1,1.0,100%,0.0,0%
4173,???? Last Day 49% Off - Tank With Built-In Bra - Smart Pack - L,Ekart SHB - 0.5kg LM,13,7.0,53%,0.0,0%
4173,???? Last Day 49% Off - Tank With Built-In Bra - Smart Pack - M,Ekart SHB - 0.5kg LM,4,3.0,75%,0.0,0%
4173,???? Last Day 49% Off - Tank With Built-In Bra - Smart Pack - S,Ekart SHB - 0.5kg LM,3,2.0,66%,0.0,0%
4173,???? Last Day 49% Off - Tank With Built-In Bra - Smart Pack - XL,DTDC Surface LM,1,1.0,100%,0.0,0%
