Order_ID,Order_number,Order_Item_ID,User_id,Order_Created_Date,Order_Status,Order_date,Order_Approved_Date,Purchase_Order_Status,Purchase_Order_Created_Date,Purchase_Order_ID,Shipment_Date,AWB,Tracking_Status,App_to_PO_TAT,PO_to_Ship_TAT,App_to_ship_TAT
5864141,#172292,5891943,2910,2024-06-19,po_created,2024-06-19,2024-06-24,po_created,26-06-2024,1.0,,,,2 days,,
5864161,#172308,5891963,2910,2024-06-19,po_created,2024-06-19,2024-06-25,po_created,26-06-2024,1.0,,,,1 days,,
5864168,#172314,5891970,2910,2024-06-19,po_created,2024-06-19,2024-06-24,po_created,26-06-2024,1.0,,,,2 days,,
5864170,#172316,5891972,2910,2024-06-19,po_created,2024-06-19,2024-06-24,po_created,26-06-2024,1.0,,,,2 days,,
5880535,#1016,5908874,2910,2024-06-20,po_created,2024-06-20,2024-06-25,po_created,26-06-2024,1.0,,,,1 days,,
5905582,#13730,5934654,1197,2024-06-21,po_created,2024-06-21,2024-06-21,po_created,27-06-2024,3.0,,,,6 days,,
5905583,#13624,5934655,1197,2024-06-21,booked,2024-06-21,2024-06-21,booked,27-06-2024,3.0,2024-07-05,I15975932,delivered,6 days,8 days,14 days
5905584,#13595,5934656,1197,2024-06-21,booked,2024-06-21,2024-06-21,booked,27-06-2024,3.0,2024-07-05,80540962073,delivered,6 days,8 days,14 days
5905585,#13549,5934657,1197,2024-06-21,booked,2024-06-21,2024-06-21,booked,27-06-2024,3.0,2024-07-05,81702716535,delivered,6 days,8 days,14 days
5905586,#13546,5934658,1197,2024-06-21,booked,2024-06-21,2024-06-21,booked,27-06-2024,3.0,2024-07-05,80540961572,rto delivered,6 days,8 days,14 days
5905587,#13529,5934659,1197,2024-06-21,booked,2024-06-21,2024-06-21,booked,27-06-2024,3.0,2024-07-05,80540961690,delivered,6 days,8 days,14 days
5905588,#13481,5934660,1197,2024-06-21,booked,2024-06-21,2024-06-21,booked,27-06-2024,3.0,2024-07-05,80540961001,delivered,6 days,8 days,14 days
5905589,#13473,5934661,1197,2024-06-21,booked,2024-06-21,2024-06-21,booked,27-06-2024,3.0,2024-07-05,80540961093,delivered,6 days,8 days,14 days
5905591,#13431,5934663,1197,2024-06-21,booked,2024-06-21,2024-06-21,booked,27-06-2024,3.0,2024-07-05,80540961292,delivered,6 days,8 days,14 days
5905592,#13407,5934664,1197,2024-06-21,booked,2024-06-21,2024-06-21,booked,27-06-2024,3.0,2024-07-05,80540960555,rto delivered,6 days,8 days,14 days
5905594,#13403,5934666,1197,2024-06-21,booked,2024-06-21,2024-06-21,booked,27-06-2024,3.0,2024-07-05,80540960776,delivered,6 days,8 days,14 days
5905595,#13365,5934667,1197,2024-06-21,booked,2024-06-21,2024-06-21,booked,27-06-2024,3.0,2024-07-05,80540960883,rto delivered,6 days,8 days,14 days
5905596,#13364,5934668,1197,2024-06-21,booked,2024-06-21,2024-06-21,booked,27-06-2024,3.0,2024-07-05,80540960323,rto delivered,6 days,8 days,14 days
5960630,#19959,5991422,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3.0,2024-07-05,80540959715,delivered,3 days,8 days,11 days
5960631,#19676,5991423,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3.0,2024-07-05,80540960065,delivered,3 days,8 days,11 days
5960632,#19478,5991424,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3.0,2024-07-05,80540960194,rto delivered,3 days,8 days,11 days
5960633,#19273,5991425,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3.0,2024-07-05,80540958923,delivered,3 days,8 days,11 days
5960635,#19219,5991427,1197,2024-06-24,po_created,2024-06-24,2024-06-24,po_created,27-06-2024,3.0,,,,3 days,,
5960636,#19074,5991428,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3.0,2024-07-05,80540959251,delivered,3 days,8 days,11 days
5960637,#19050,5991429,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3.0,2024-07-05,I15975931,rto delivered,3 days,8 days,11 days
5960638,#13543,5991430,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3.0,2024-07-05,81702713212,delivered,3 days,8 days,11 days
5960639,#20266,5991431,1197,2024-06-24,po_created,2024-06-24,2024-06-24,po_created,27-06-2024,3.0,,,,3 days,,
5960640,#20254,5991432,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3.0,2024-07-05,80540957055,delivered,3 days,8 days,11 days
5960641,#20244,5991433,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3.0,2024-07-05,80540957604,delivered,3 days,8 days,11 days
5960642,#20201,5991434,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3.0,2024-07-05,81702711974,delivered,3 days,8 days,11 days
5960643,#20154,5991435,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3.0,2024-07-05,80540958061,delivered,3 days,8 days,11 days
5960644,#20152,5991436,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3.0,2024-07-05,I15975930,rto delivered,3 days,8 days,11 days
5960646,#20141,5991438,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3.0,2024-07-05,80540956565,delivered,3 days,8 days,11 days
5960647,#20079,5991439,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3.0,2024-07-05,81702710515,delivered,3 days,8 days,11 days
5960648,#20076,5991440,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3.0,2024-07-09,80544262315,rto delivered,3 days,12 days,15 days
5960649,#19994,5991441,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3.0,2024-07-05,80540955563,delivered,3 days,8 days,11 days
5960650,#19919,5991442,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3.0,2024-07-05,80540955946,rto delivered,3 days,8 days,11 days
5960651,#19890,5991443,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3.0,2024-07-05,80540954653,delivered,3 days,8 days,11 days
5960652,#19851,5991444,1197,2024-06-24,booked,2024-06-24,2024-06-24,booked,27-06-2024,3.0,2024-07-05,80540954885,delivered,3 days,8 days,11 days
