Courier,Grand_Total,Delivered,Delivered_%,Exception,Exception_%,In Transit,In_Transit_%,Out For Delivery,Out_For_Delivery_%,RTO,RTO_%
Grand_Total,2737,5,0%,14,0%,2652,96%,53,1%,13,0%
Ekart STL -  1kg,1843,0,0%,3,0%,1833,99%,7,0%,0,0%
Xpressbees Surface,473,0,0%,4,0%,452,95%,4,0%,13,2%
Bluedart Air,163,2,1%,4,2%,130,79%,27,16%,0,0%
Bluedart,78,3,3%,3,3%,59,75%,13,16%,0,0%
Shadowfax,66,0,0%,0,0%,66,100%,0,0%,0,0%
Ekart SHB - 0.5kg,44,0,0%,0,0%,43,97%,1,2%,0,0%
Shipway Delhivery,36,0,0%,0,0%,36,100%,0,0%,0,0%
DTDC Surface 0.5KG,14,0,0%,0,0%,14,100%,0,0%,0,0%
Ekart STO - 0.5kg,7,0,0%,0,0%,6,85%,1,14%,0,0%
Bluedart Surface,6,0,0%,0,0%,6,100%,0,0%,0,0%
Delhivery Surface DT,6,0,0%,0,0%,6,100%,0,0%,0,0%
Ekart,1,0,0%,0,0%,1,100%,0,0%,0,0%
