Variant_SKU,Product_Name,Pricing_Plan,Ships,Delivered,Delivered_%,Avg_Product_Margin
Grand_Total,,,8811,5,0.06%,150
SI34614,Smart Foldable Shoes Shelf 4 Tier Shoe Rack,Delivery,2797,0,0.0%,163
SI34832,Smart Foldable Shoes Shelf 4 Tier Shoe Rack,Delivery,738,0,0.0%,165
SI37240,Eco Friendly Electronic LED Mosquito Killer Machine Trap Lamp Electric Insect Killer Indoor,Delivery,685,0,0.0%,120
SI38136,Smart Foldable Shoes Shelf 4 Tier Shoe Rack,Delivery,577,0,0.0%,186
SI37631,Smart Foldable Shoes Shelf 4 Tier Shoe Rack,Delivery,490,0,0.0%,180
SI36550,Smart Foldable Shoes Shelf 4 Tier Shoe Rack,Delivery,408,0,0.0%,186
SI37352,Portable Mini Washing Machine Ultrasonic Turbine Washer,Delivery,405,2,0.49%,120
SI37353,3D Model of Shri Ram Ayodhya Temple,Delivery,324,0,0.0%,115
SI37963,Smart Foldable Shoes Shelf 4 Tier Shoe Rack,Delivery,259,0,0.0%,186
SI36701,"Tall Grow Booster Drops, Height Booster Drops, Height Growth Oil (Pack 2)",Delivery,248,0,0.0%,102
SI36206,Eco Friendly Electronic LED Mosquito Killer Machine Trap Lamp Electric Insect Killer Indoor,Delivery,174,0,0.0%,120
SI27678,WART REMOVER (PACK OF 1),Delivery,155,0,0.0%,71
SI29074,"Torch Light,LED 3W Torch Light Rechargeable Torch Flashlight with Hammer Window Glass",Delivery,129,0,0.0%,120
SI35267,Onbeat Men's Casual Black Boot,Delivery,123,0,0.0%,150
SI35266,Onbeat Men's Casual Black Boot,Delivery,120,0,0.0%,150
SI35265,Onbeat Men's Casual Black Boot,Delivery,117,0,0.0%,150
SI35268,Onbeat Men's Casual Black Boot,Delivery,103,0,0.0%,150
SI38006,Square Oversized Sunglasses for Women Men Fashion Flat Top Big Black Frame Shades,Delivery,82,0,0.0%,125
SI37341,Men`s Fast Dry Strech Pants,Delivery,77,0,0.0%,111
SI35195,Men’s Ultra Light Weight Sports Shoes,Delivery,76,0,0.0%,130
SI35193,Men’s Ultra Light Weight Sports Shoes,Delivery,69,0,0.0%,130
SI28345,ABS Mini Long 3D Y Shape 360 Rotate Face Small Roller,Delivery,55,0,0.0%,151
SI35194,Men’s Ultra Light Weight Sports Shoes,Delivery,51,0,0.0%,130
SI35959,Knee Patch,Delivery,49,0,0.0%,92
SI35822,"Laundry Stain Remover For Clothes, Sofas, Removes Tough Stains (Pack of 1)",Delivery,48,0,0.0%,120
SI35196,Men’s Ultra Light Weight Sports Shoes,Delivery,46,0,0.0%,130
SI33885,Seamless High Waist Butt Lift Panties (Pack Of 3),Delivery,37,1,2.7%,110
SI33886,Seamless High Waist Butt Lift Panties (Pack Of 3),Delivery,36,0,0.0%,130
SI33884,Seamless High Waist Butt Lift Panties (Pack Of 3),Delivery,35,1,2.86%,100
SI35197,Men’s Ultra Light Weight Sports Shoes,Delivery,35,0,0.0%,130
SI35269,Onbeat Men's Casual Black Boot,Delivery,33,0,0.0%,150
SI20689,2 In 1 Car Vacuum Cleaner,Delivery,30,0,0.0%,100
SI35826,Car Scratch Repair ( Pack of 2 ),Delivery,29,0,0.0%,150
SI28724,Herbal Piles - Hemorrhoids Relief Spray,Delivery,19,0,0.0%,140
SI33882,Seamless High Waist Butt Lift Panties (Pack Of 3),Delivery,15,1,6.67%,130
SI37299,Herbal 3 in 1 Hair Dye Instant Black Hair Shampoo for Women & Men 200ml (Black) Pack of 2,Delivery,14,0,0.0%,120
SI29445,Seamless High Waist Butt Lift Panties (Pack Of 5),Delivery,14,0,0.0%,175
SI27758,ABS Mini Long 3D Y Shape 360 Rotate Face Small Roller,Delivery,13,0,0.0%,120
SI29303,Fashionable & Stylish Look Analog Watch For Men Black Strip (Pack Of 3),Delivery,11,0,0.0%,140
SI33883,Seamless High Waist Butt Lift Panties (Pack Of 3),Delivery,11,0,0.0%,130
SI29444,Seamless High Waist Butt Lift Panties (Pack Of 5),Delivery,10,0,0.0%,165
SI34857,Seamless High Waist Butt Lift Panties (Pack Of 4),Delivery,9,0,0.0%,132
SI33453,Mini Portable Mop Short Handed Mini Mop for Cleaning Glassware and Bathroom Mops Floor,Dispatch,7,0,0.0%,42
SI29443,Seamless High Waist Butt Lift Panties (Pack Of 5),Delivery,6,0,0.0%,175
SI37323,Women's wollen leggings ( pack of 1 ),Delivery,5,0,0.0%,100
SI38074,Marble Dust and Resin Lord Bahubali Hanuman Idol Statue Bajrang Bali Murti Showpiece,Delivery,5,0,0.0%,120
SI36716,Self Defense Stick,Delivery,5,0,0.0%,90
SI38243,Nabhi Therapy Oil (Pack of 1),Delivery,3,0,0.0%,120
SI34673,Self Tactical Rod Heavy Metal and Extendable Iron Safety Stick Black Color (Pack of 1),Delivery,2,0,0.0%,150
SI36531,Seamless High Waist Butt Lift Panties (Pack Of 4 ),Delivery,2,0,0.0%,90
SI34099,Daily Use Reading Glasses (Pack of 1),Delivery,1,0,0.0%,136
SI38030,"Led Light Fall Ceiling Light for Diwali,Chritmas,Eid Home Decoration with Adaptor",Delivery,1,0,0.0%,120
SI38077,Flexi Fold Large Cloth Basket with Metal Frame & Handle,Delivery,1,0,0.0%,460
SI37881,Mobile Phone Magnifer Projector Screen for Movies,Delivery,1,0,0.0%,120
SI38121,Electric Nose Hair Trimmer for Men& Women,Delivery,1,0,0.0%,120
SI38217,Kitchen Fridge Space Saver Organizer Slide Under Shelf Rack (Pack of 4),Delivery,1,0,0.0%,120
SI38218,"White Airpods Pro Premium, 2nd Generation",Delivery,1,0,0.0%,121
SI27953,Women's Jeggings,Delivery,1,0,0.0%,120
SI34660,"Medicare Height Booster Drops, Height Booster Drops, Height Growth Oil (Pack 2)",Delivery,1,0,0.0%,110
SI28252,Women's Seamless Non Padded Non Wired Air Bra (Pack of 2),Delivery,1,0,0.0%,110
SI28344,women best flat hair straightener comb for smoothing treatment hair,Delivery,1,0,0.0%,90
SI29446,Seamless High Waist Butt Lift Panties (Pack Of 5),Delivery,1,0,0.0%,175
SI28756,Crystal Stone Polishing Agent (Pack of 2),Delivery,1,0,0.0%,100
SI29234,WHITENING SPF 15+ MOISTURZIER FAIRNESS BODY LOTION (PACK OF 2),Delivery,1,0,0.0%,180
SI36523,Seamless High Waist Butt Lift Panties (Pack Of 2),Delivery,1,0,0.0%,100
SI36522,Seamless High Waist Butt Lift Panties (Pack Of 2),Delivery,1,0,0.0%,90
SI36521,Seamless High Waist Butt Lift Panties (Pack Of 2),Delivery,1,0,0.0%,90
SI36352,Multipurpose Plastic Kitchen Sink Organizer Corner,Delivery,1,0,0.0%,90
SI36112,Lint Remover,Delivery,1,0,0.0%,90
SI33446,Adiyogi Dhyana Mudra Idol Fountain,Delivery,1,0,0.0%,90
